NO,WindowNumber,WindowAreaSum,WindowAreaAvg,DistanceToWindowSum,DistanceToWindowAvg,ViewVectorandWindowCenterAngleAvg,RoomWidth,RoomHeight,RoomDepth,RoomVolume,WholeRoomVolume,WindowToWallRatio,VWindowDispersion,HWindowDispersion,WindowLengthSum,WindowLengthAvg,WindowHeightSum,WindowHeightAvg,AspectRatioAvg,WindowHorizontalAngleSum,WindowHorizontalAngleAvg,WindowVerticalAngleSum,WindowVerticalAngleAvg,HViewAngle,VViewAngle,Z1PtsCount,Z2PtsCount,Z2PtsCountZ1PtsCount,Z3PtsCount,Z4PtsCount,Z1PtsCountRatio,Z2PtCountRatio,Z2PtsCountZ1PtsCountRatio,Z3PtsCountRatio,Z4PtsCountRatio,BuildingPtsCount,EquipmentPtsCount,TreePtsCount,PavementPtsCount,GrassPtsCount,WaterPtsCount,DynamicPtsCount,TreePtsCountGrassPtsCount,SkyPtsCount,BuildingPtsCountRatio,EquipmentPtsCountRatio,TreePtsCountRatio,PavementPtsCountRatio,GrassPtsCountRatio,WaterPtsCountRatio,DynamicPtsRatio,TreePtsCountGrassPtsCountRatio,SkyPtsCountRatio,BuildingIsClosest,EquipmentIsClosest,TreeIsClosest,DynamicIsClosest,SkyIsClosest,ClosestObjectDist,ElementNumber,FloorHeights,BuildingClosestDist,EquipmentClosestDist,TreeClosestDist,GrassClosestDist,WaterClosestDist,NatureClosestDist,DynamicClosestDist,SkyClosestDist,SkyCondition,ViewContent,ViewAccess,Privacy,OverallRating,RAND
1,1,9.600000954,9.600000954,3.920459157,11.76137747,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,8684,0,8001,0,0,0,0,8001,24466,0.211027679,0,0.194430269,0,0,0,0,0.194430269,0.594542052,0,0,1,0,0,89.01147322,3,26.14285469,138.9393971,50000,89.01147322,50000,50000,89.01147322,50000,53038.78791,2,2.733333333,3.333333333,3.5,3.1,0.903175486
2,2,6.600000298,3.300000149,8.130344396,16.26068879,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,5418,0,5724,0,0,0,0,5724,17238,0.190909091,0,0.201691332,0,0,0,0,0.201691332,0.607399577,0,0,1,0,0,97.91136799,3,26.14285469,152.0887168,50000,97.91136799,50000,50000,97.91136799,50000,55046.2237,2,2.1,1.725,1.875,2.025,0.053600208
3,3,5.760000315,1.920000105,12.50512484,16.67349978,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,7120,0,5797,0,0,0,0,5797,11700,0.289231019,0,0.235487671,0,0,0,0,0.235487671,0.47528131,0,0,1,0,0,85.79922132,3,26.14285469,135.85526,50000,85.79922132,50000,50000,85.79922132,50000,53018.62064,2,3.4,3.625,4.025,3.325,0.234885504
4,1,13.44000098,13.44000098,3.9,19.5,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.380952392,4.44E-16,4.90E-16,4.800000191,4.800000191,2.800000191,2.800000191,1.714285666,63.21500684,63.21500684,39.49367466,39.49367466,63.5,39.5,459,884,1343,1264,1264,0.118574012,0.228364764,0.346938776,0.326530612,0.326530612,8684,0,20755,3349,35,0,450,20790,24466,0.150400942,0,0.359462408,0.05800239,0.000606176,0,0.007793692,0.360068584,0.423734391,0,0,1,0,0,52.24638548,6,26.14285469,138.9393971,50000,52.24638548,90.12123317,50000,52.24638548,94.43987162,53038.78791,2,2.38,3.04,1.9,2.74,0.066858017
5,1,7.840000129,7.840000129,3.9,11.7,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.222222216,8.88E-16,1.29E-16,2.799999952,2.799999952,2.800000191,2.800000191,0.999999915,39.49367281,39.49367281,37.3365983,37.3365983,39.5,39.5,486,396,882,735,735,0.206632653,0.168367347,0.375,0.3125,0.3125,4929,0,11683,2941,35,0,359,11718,13900,0.145625905,0,0.345170916,0.08689101,0.001034065,0,0.010606553,0.346204981,0.410671551,0,0,1,0,0,70.40424871,6,26.14285469,234.1513519,50000,70.40424871,90.12123317,50000,70.40424871,93.40055853,56789.82927,2,2.166666667,2.533333333,2.933333333,2.333333333,0.998825122
6,3,10.08000007,3.360000024,12.25703297,20.42838828,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,378,756,1134,945,945,0.125,0.25,0.375,0.3125,0.3125,6727,0,15331,2740,7,0,375,15338,18079,0.155505213,0,0.35440024,0.063339421,0.000161816,0,0.008668716,0.354562056,0.417924594,0,0,1,0,0,55.78773512,5,26.14285469,146.8778625,50000,55.78773512,90.12123317,50000,55.78773512,93.45728754,54125.71426,2,3.16,3.14,3.9,3.3,0.519178879
7,1,6.080000396,6.080000396,3.925875698,19.62937849,6.581944655,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.172335604,0.45,8.05E-16,3.200000048,3.200000048,1.900000095,1.900000095,1.684210467,44.61241096,44.61241096,27.05259754,27.05259754,44.5,27,468,540,1008,840,0,0.253246753,0.292207792,0.545454545,0.454545455,0,5522,0,4590,0,0,0,0,4590,16087,0.210771403,0,0.175197527,0,0,0,0,0.175197527,0.61403107,0,0,1,0,0,117.9993371,3,26.14285469,193.4808136,50000,117.9993371,50000,50000,117.9993371,50000,56228.90886,2,3.1,2.6,3.7,3.16,0.141614185
8,2,9.240000009,4.620000005,8.04005597,24.12016791,14.03624347,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.26190475,2.22E-16,0.975,3.299999952,1.649999976,5.600000381,2.800000191,0.589285666,45.14508372,22.57254186,75.5718658,37.7859329,45,39.5,396,648,1044,870,870,0.142241379,0.232758621,0.375,0.3125,0.3125,5502,0,13999,2929,35,0,336,14034,17019,0.138171773,0,0.351557007,0.073556002,0.000878955,0,0.008437971,0.352435962,0.427398292,0,0,1,0,0,60.58534809,6,26.14285469,157.437781,50000,60.58534809,90.12123317,50000,60.58534809,95.67467323,55513.0788,2,3.166666667,3.5,3.083333333,2.916666667,0.311723651
9,4,7.919999485,1.979999871,16.55703297,12.41777473,19.50363244,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.224489771,0.65,1.2,7.199999809,1.799999952,4.399999976,1.099999994,2.062500026,95.60819708,23.90204927,60.23831836,15.05957959,48,32.5,256,736,992,744,682,0.105872622,0.304383788,0.41025641,0.307692308,0.282051282,5919,0,10866,1391,0,0,148,10866,15756,0.173679577,0,0.318838028,0.040815728,0,0,0.004342723,0.318838028,0.462323944,0,0,1,0,0,59.03146983,5,26.14285469,146.1586701,50000,59.03146983,50000,50000,59.03146983,99.96401044,54543.21553,2,2.266666667,-0.1,2.166666667,1.466666667,0.058958929
10,1,4.159999909,4.159999909,3.902883549,23.41730129,2.202598162,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.117913824,0.15,4.47E-16,3.200000048,3.200000048,1.299999952,1.299999952,2.461538589,44.61241096,44.61241096,18.89793438,18.89793438,44.5,19,486,504,990,275,0,0.384189723,0.398418972,0.782608696,0.217391304,0,5522,0,4590,0,0,0,0,4590,7780,0.308629555,0,0.256539235,0,0,0,0,0.256539235,0.434831209,0,0,1,0,0,117.9993371,3,26.14285469,193.4808136,50000,117.9993371,50000,50000,117.9993371,50000,57122.15753,2,3.833333333,1.983333333,4.25,3.133333333,0.344483211
