NO,Background,WindowType,WindowNumber,WindowAreaSum,WindowAreaAvg,DistanceToWindowSum,DistanceToWindowAvg,ViewVectorandWindowCenterAngleAvg,RoomWidth,RoomHeight,RoomDepth,RoomVolume,WholeRoomVolume,WindowToWallRatio,VWindowDispersion,HWindowDispersion,WindowLengthSum,WindowLengthAvg,WindowHeightSum,WindowHeightAvg,AspectRatioAvg,WindowHorizontalAngleSum,WindowHorizontalAngleAvg,WindowVerticalAngleSum,WindowVerticalAngleAvg,HViewAngle,VViewAngle,Z1PtsCount,Z2PtsCount,Z2PtsCountZ1PtsCount,Z3PtsCount,Z4PtsCount,Z1PtsCountRatio,Z2PtCountRatio,Z2PtsCountZ1PtsCountRatio,Z3PtsCountRatio,Z4PtsCountRatio,BuildingPtsCount,EquipmentPtsCount,TreePtsCount,PavementPtsCount,GrassPtsCount,WaterPtsCount,DynamicPtsCount,TreePtsCountGrassPtsCount,SkyPtsCount,BuildingPtsCountRatio,EquipmentPtsCountRatio,TreePtsCountRatio,PavementPtsCountRatio,GrassPtsCountRatio,WaterPtsCountRatio,DynamicPtsRatio,TreePtsCountGrassPtsCountRatio,SkyPtsCountRatio,BuildingIsClosest,EquipmentIsClosest,TreeIsClosest,DynamicIsClosest,SkyIsClosest,ClosestObjectDist,ElementNumber,FloorHeights,BuildingClosestDist,EquipmentClosestDist,TreeClosestDist,GrassClosestDist,WaterClosestDist,NatureClosestDist,DynamicClosestDist,SkyClosestDist,SkyCondition,ID,ViewContent,ViewAccess,Privacy,OverallRating,RAND
1,1,1,1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,8684,0,8001,0,0,0,0,8001,24466,0.211027679,0,0.194430269,0,0,0,0,0.194430269,0.594542052,0,0,1,0,0,89.01147322,3,26.14285469,138.9393971,50000,89.01147322,50000,50000,89.01147322,50000,53038.78791,2,R_tE9UiaFEU1phUzL,2.3,1,2,1.9,0.87555735
1,1,1,1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,8684,0,8001,0,0,0,0,8001,24466,0.211027679,0,0.194430269,0,0,0,0,0.194430269,0.594542052,0,0,1,0,0,89.01147322,3,26.14285469,138.9393971,50000,89.01147322,50000,50000,89.01147322,50000,53038.78791,2,R_27y8BRELbrJDgFO,3.2,4,3.5,3.6,0.023208958
1,1,1,1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,8684,0,8001,0,0,0,0,8001,24466,0.211027679,0,0.194430269,0,0,0,0,0.194430269,0.594542052,0,0,1,0,0,89.01147322,3,26.14285469,138.9393971,50000,89.01147322,50000,50000,89.01147322,50000,53038.78791,2,R_3HT8lliId3HGMLf,2.7,5,5,3.8,0.714808771
2,1,2,2,6.600000298,3.300000149,8.130344396,4.065172198,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,5418,0,5724,0,0,0,0,5724,17238,0.190909091,0,0.201691332,0,0,0,0,0.201691332,0.607399577,0,0,1,0,0,97.91136799,3,26.14285469,152.0887168,50000,97.91136799,50000,50000,97.91136799,50000,55046.2237,2,R_puuHVOFjvamD30Z,0.8,1.2,0.8,1.8,0.488757021
2,1,2,2,6.600000298,3.300000149,8.130344396,4.065172198,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,5418,0,5724,0,0,0,0,5724,17238,0.190909091,0,0.201691332,0,0,0,0,0.201691332,0.607399577,0,0,1,0,0,97.91136799,3,26.14285469,152.0887168,50000,97.91136799,50000,50000,97.91136799,50000,55046.2237,2,R_333IM7rlSBZOL4x,2,1.9,0.7,2,0.563621706
2,1,2,2,6.600000298,3.300000149,8.130344396,4.065172198,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,5418,0,5724,0,0,0,0,5724,17238,0.190909091,0,0.201691332,0,0,0,0,0.201691332,0.607399577,0,0,1,0,0,97.91136799,3,26.14285469,152.0887168,50000,97.91136799,50000,50000,97.91136799,50000,55046.2237,2,R_2YDI1N4efqrVch1,2.8,1.7,3.2,2.1,0.645779832
2,1,2,2,6.600000298,3.300000149,8.130344396,4.065172198,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,5418,0,5724,0,0,0,0,5724,17238,0.190909091,0,0.201691332,0,0,0,0,0.201691332,0.607399577,0,0,1,0,0,97.91136799,3,26.14285469,152.0887168,50000,97.91136799,50000,50000,97.91136799,50000,55046.2237,2,R_3Jwm07eUQlRaYAz,2.8,2.1,2.8,2.2,0.414334554
3,1,3,3,5.760000315,1.920000105,12.50512484,4.168374946,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,7120,0,5797,0,0,0,0,5797,11700,0.289231019,0,0.235487671,0,0,0,0,0.235487671,0.47528131,0,0,1,0,0,85.79922132,3,26.14285469,135.85526,50000,85.79922132,50000,50000,85.79922132,50000,53018.62064,2,R_3CUAeQjosG4PWQp,5,5,5,2.5,0.062747644
3,1,3,3,5.760000315,1.920000105,12.50512484,4.168374946,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,7120,0,5797,0,0,0,0,5797,11700,0.289231019,0,0.235487671,0,0,0,0,0.235487671,0.47528131,0,0,1,0,0,85.79922132,3,26.14285469,135.85526,50000,85.79922132,50000,50000,85.79922132,50000,53018.62064,2,R_3Jwm07eUQlRaYAz,2.3,1.7,3.2,2.7,0.412437484
3,1,3,3,5.760000315,1.920000105,12.50512484,4.168374946,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,7120,0,5797,0,0,0,0,5797,11700,0.289231019,0,0.235487671,0,0,0,0,0.235487671,0.47528131,0,0,1,0,0,85.79922132,3,26.14285469,135.85526,50000,85.79922132,50000,50000,85.79922132,50000,53018.62064,2,R_2fAI1MBkWzrHMo2,4,4.3,5,3.1,0.162578474
