WindowNumber,WindowAreaSum,WindowAreaAvg,DistanceToWindowSum,DistanceToWindowAvg,ViewVectorandWindowCenterAngleAvg,RoomWidth,RoomHeight,RoomDepth,RoomVolume,WholeRoomVolume,WindowToWallRatio,VWindowDispersion,HWindowDispersion,WindowLengthSum,WindowLengthAvg,WindowHeightSum,WindowHeightAvg,AspectRatioAvg,WindowHorizontalAngleSum,WindowHorizontalAngleAvg,WindowVerticalAngleSum,WindowVerticalAngleAvg,HViewAngle,VViewAngle,Z1PtsCount,Z2PtsCount,Z2PtsCountZ1PtsCount,Z3PtsCount,Z4PtsCount,Z1PtsCountRatio,Z2PtCountRatio,Z2PtsCountZ1PtsCountRatio,Z3PtsCountRatio,Z4PtsCountRatio,BuildingPtsCount,EquipmentPtsCount,TreePtsCount,PavementPtsCount,GrassPtsCount,WaterPtsCount,DynamicPtsCount,TreePtsCountGrassPtsCount,SkyPtsCount,BuildingPtsCountRatio,EquipmentPtsCountRatio,TreePtsCountRatio,PavementPtsCountRatio,GrassPtsCountRatio,WaterPtsCountRatio,DynamicPtsRatio,TreePtsCountGrassPtsCountRatio,SkyPtsCountRatio,BuildingIsClosest,EquipmentIsClosest,TreeIsClosest,DynamicIsClosest,SkyIsClosest,ClosestObjectDist,ElementNumber,FloorHeights,BuildingClosestDist,EquipmentClosestDist,TreeClosestDist,GrassClosestDist,WaterClosestDist,NatureClosestDist,DynamicClosestDist,SkyClosestDist,SkyCondition,ViewContent,ViewAccess,Privacy,OverallRating
3,10.08000007,3.360000024,12.25703297,4.085677655,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,5293,10720,16013,13623,13623,0.122356042,0.247809704,0.370165746,0.314917127,0.314917127,31881,0,2422,0,0,0,0,2422,8956,0.736979588,0,0.055988349,0,0,0,0,0.055988349,0.207032063,1,0,0,0,0,6.7755249,3,15.0185336,6.7755249,50000,98.2820796,50000,50000,98.2820796,50000,53405.9172,1,2.15,2.025,-0.2,1.125
4,7.919999485,1.979999871,16.55703297,4.139258242,19.50363244,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.224489771,0.65,1.2,7.199999809,1.799999952,4.399999976,1.099999994,2.062500026,95.60819708,23.90204927,60.23831836,15.05957959,48,32.5,3776,10384,14160,10560,9360,0.110798122,0.304694836,0.415492958,0.309859155,0.274647887,148,0,14375,6190,0,1978,493,14375,10896,0.004342723,0,0.421801643,0.181631455,0,0.058039906,0.014465962,0.421801643,0.31971831,0,0,0,1,0,85.47311901,6,15.38297462,1545.886608,50000,569.7591408,50000,524.9363608,569.7591408,85.47311901,54493.65145,2,3.36,1.94,1.82,2.84
1,7.840000129,7.840000129,3.9,3.9,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.222222216,8.88E-16,1.29E-16,2.799999952,2.799999952,2.800000191,2.800000191,0.999999915,39.49367281,39.49367281,37.3365983,37.3365983,39.5,39.5,6901,5628,12529,10659,10659,0.203888085,0.166277661,0.370165746,0.314917127,0.314917127,19419,1709,0,0,0,0,0,0,12719,0.573728839,0.05049192,0,0,0,0,0,0,0.375779242,0,1,0,0,0,12.88138743,3,26.56128883,20.89327148,12.88138743,50000,50000,50000,50000,50000,56709.64412,1,-0.8,0.583333333,-0.533333333,-0.333333333
2,6.600000298,3.300000149,8.130344396,4.065172198,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,4690,10050,14740,12540,1100,0.165257223,0.354122622,0.519379845,0.441860465,0.03875969,10524,0,1641,2147,0,0,2311,1641,11757,0.370824524,0,0.05782241,0.075651868,0,0,0.081430585,0.05782241,0.414270613,0,0,0,1,0,70.49296614,5,0,118.236447,50000,140.2541194,50000,50000,140.2541194,70.49296614,54923.46339,1,-0.825,1.875,1.225,0.4
3,10.08000007,3.360000024,12.25703297,4.085677655,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,5293,10720,16013,13623,13623,0.122356042,0.247809704,0.370165746,0.314917127,0.314917127,19509,0,10838,12178,0,0,327,10838,407,0.450981299,0,0.25053746,0.281513673,0,0,0.007559121,0.25053746,0.009408447,1,0,0,0,0,10.03984869,5,1.810287982,10.03984869,50000,10.69384134,50000,50000,10.69384134,11.75771547,55992.02549,0,0.666666667,0.966666667,-4.733333333,-1.033333333
1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,6901,13668,20569,17499,1535,0.174254476,0.345125369,0.519379845,0.441860465,0.03875969,2365,0,870,0,0,7348,2254,870,28314,0.057471264,0,0.021141649,0,0,0.178561882,0.054773882,0.021141649,0.688051323,0,0,0,1,0,705.5777067,5,41.67885208,747.5493731,50000,734.7282707,50000,369.77863,734.7282707,705.5777067,53178.55829,1,3.95,4.333333333,4.516666667,4.183333333
1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,6901,13668,20569,17499,1535,0.174254476,0.345125369,0.519379845,0.441860465,0.03875969,13510,0,18290,0,8305,0,0,26595,1046,0.328303079,0,0.444460645,0,0.201817696,0,0,0.646278341,0.02541858,0,0,1,0,0,7.914176661,4,1.688093781,33.67439444,50000,7.914176661,15.75620823,50000,7.914176661,50000,52118.2717,0,2.583333333,3.2,0.366666667,2.2
4,7.919999485,1.979999871,16.55703297,4.139258242,19.50363244,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.224489771,0.65,1.2,7.199999809,1.799999952,4.399999976,1.099999994,2.062500026,95.60819708,23.90204927,60.23831836,15.05957959,48,32.5,3776,10384,14160,10560,9360,0.110798122,0.304694836,0.415492958,0.309859155,0.274647887,1715,0,18445,0,0,0,13920,18445,0,0.05032277,0,0.541226526,0,0,0,0.408450704,0.541226526,0,0,0,0,1,0,1.77550178,3,4.175288677,22.89920111,50000,18.22658551,50000,50000,18.22658551,1.77550178,50000,0,2,1.3,2.84,1.48
1,9.600000954,9.600000954,3.920459157,3.920459157,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,6901,13668,20569,17499,1535,0.174254476,0.345125369,0.519379845,0.441860465,0.03875969,851,0,24410,0,3155,0,0,27565,12735,0.020679935,0,0.593181211,0,0.076668854,0,0,0.669850064,0.309470001,0,0,1,0,0,49.49149898,4,6.852319241,354.0483167,50000,49.49149898,60.70184698,50000,49.49149898,50000,52128.41869,1,3.2,3.466666667,2.7,3.133333333
1,4.159999909,4.159999909,3.902883549,3.902883549,2.202598162,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.117913824,0.15,4.47E-16,3.200000048,3.200000048,1.299999952,1.299999952,2.461538589,44.61241096,44.61241096,18.89793438,18.89793438,44.5,19,6798,7260,14058,3834,0,0.379946345,0.405767941,0.785714286,0.214285714,0,9997,7608,0,287,0,0,0,0,0,0.558741337,0.425217975,0,0.016040689,0,0,0,0,0,0,1,0,0,0,13.85896637,3,2.513761044,22.34319862,13.85896637,50000,50000,50000,50000,50000,50000,0,-0.36,0.5,0.3,-0.52
